"","expression","methylation"
"Factor1",1.85943841934204,22.6300001144409
"Factor2",6.56315088272095,8.7969958782196
"Factor3",12.0799660682678,2.02872753143311
"Factor4",4.63094115257263,3.74658703804016
"Factor5",5.38288950920105,1.09807252883911
"Factor6",3.82932424545288,1.03768706321716
"Factor7",4.61674332618713,0.0199377536773682
"Factor8",0.282520055770874,3.92037630081177
"Factor9",1.9095778465271,2.22344994544983
"Factor10",2.35514044761658,1.48569345474243
