"Hugo_Symbol","n_mutated","freq"
"TP53",13,0.342105263157895
"BCOR",3,0.0789473684210526
"TTN",3,0.0789473684210526
"CSMD2",2,0.0526315789473684
"FAM184B",2,0.0526315789473684
"MLLT1",2,0.0526315789473684
"TENM1",2,0.0526315789473684
"TNRC18",2,0.0526315789473684
"WT1",2,0.0526315789473684
"ABCA12",1,0.0263157894736842
"ABCA13",1,0.0263157894736842
"ABCC11",1,0.0263157894736842
"ABHD6",1,0.0263157894736842
"ACP3",1,0.0263157894736842
"ACTB",1,0.0263157894736842
"ADAMDEC1",1,0.0263157894736842
"ADAMTS10",1,0.0263157894736842
"ADCY5",1,0.0263157894736842
"ADGRV1",1,0.0263157894736842
"AFDN",1,0.0263157894736842
"AGK",1,0.0263157894736842
"AGT",1,0.0263157894736842
"AIPL1",1,0.0263157894736842
"AKAP8",1,0.0263157894736842
"AL133500.1",1,0.0263157894736842
"ALDH1L2",1,0.0263157894736842
"ALG14",1,0.0263157894736842
"AMER1",1,0.0263157894736842
"AMZ1",1,0.0263157894736842
"ANKS1B",1,0.0263157894736842
"AOAH",1,0.0263157894736842
"APC",1,0.0263157894736842
"APOBEC3D",1,0.0263157894736842
"APOBEC3H",1,0.0263157894736842
"ARHGAP40",1,0.0263157894736842
"ARID1A",1,0.0263157894736842
"ARRB1",1,0.0263157894736842
"ARSJ",1,0.0263157894736842
"ASB5",1,0.0263157894736842
"ASPM",1,0.0263157894736842
"ASXL1",1,0.0263157894736842
"ATP6AP1",1,0.0263157894736842
"BABAM2",1,0.0263157894736842
"BCORL1",1,0.0263157894736842
"BEST3",1,0.0263157894736842
"BFSP1",1,0.0263157894736842
"BRINP2",1,0.0263157894736842
"CACHD1",1,0.0263157894736842
"CAPN15",1,0.0263157894736842
"CARD10",1,0.0263157894736842
"CCDC105",1,0.0263157894736842
"CCDC125",1,0.0263157894736842
"CCDC171",1,0.0263157894736842
"CCER1",1,0.0263157894736842
"CCL11",1,0.0263157894736842
"CCNP",1,0.0263157894736842
"CD36",1,0.0263157894736842
"CD9",1,0.0263157894736842
"CDC73",1,0.0263157894736842
"CDH23",1,0.0263157894736842
"CDH5",1,0.0263157894736842
"CDH8",1,0.0263157894736842
"CDHR3",1,0.0263157894736842
"CDK16",1,0.0263157894736842
"CENPBD1",1,0.0263157894736842
"CFTR",1,0.0263157894736842
"CHD4",1,0.0263157894736842
"CHD6",1,0.0263157894736842
"CLN3",1,0.0263157894736842
"CMKLR1",1,0.0263157894736842
"CMTR1",1,0.0263157894736842
"COL19A1",1,0.0263157894736842
"COL3A1",1,0.0263157894736842
"CPXM2",1,0.0263157894736842
"CREBBP",1,0.0263157894736842
"CSMD3",1,0.0263157894736842
"CSTF1",1,0.0263157894736842
"CTNNB1",1,0.0263157894736842
"CUEDC1",1,0.0263157894736842
"CYLC1",1,0.0263157894736842
"DACT1",1,0.0263157894736842
"DCC",1,0.0263157894736842
"DICER1",1,0.0263157894736842
"DIP2C",1,0.0263157894736842
"DISP3",1,0.0263157894736842
"DMXL1",1,0.0263157894736842
"DNAH5",1,0.0263157894736842
"DNAH6",1,0.0263157894736842
"DNHD1",1,0.0263157894736842
"DNM3",1,0.0263157894736842
"DOP1A",1,0.0263157894736842
"DROSHA",1,0.0263157894736842
"DSCAML1",1,0.0263157894736842
"ECHS1",1,0.0263157894736842
"EEF1AKMT4-ECE2",1,0.0263157894736842
"EMC4",1,0.0263157894736842
"ENPP6",1,0.0263157894736842
"ERC1",1,0.0263157894736842
